"Id","geonames_id","locations_name_modern","locations_name_in_edition","locations_modern_state","locations_modern_province","locations_lat","locations_lng","locations_ll_combined","locations_further_annotation"
"anderlecht_BE_gid_2803201","2803201","Anderlecht","Anderlecht","Belgium","Brussels Capital","50.83619","4.31454","50.83619, 4.31454",""
"antwerpen_BE_gid_2803138","2803138","Antwerpen","Antwerpen","Belgium","Flemish","51.21989","4.40346","51.21989, 4.40346",""
"basel_CH_gid_2661604","2661604","Basel","Basel","Switzerland","Basel-City","47.5584","7.57327","47.5584, 7.57327",""
"blois_FR_gid_3032213","3032213","Blois","Blois","France","Centre","47.58333","1.33333","47.58333, 1.33333",""
"bonnefont_FR_gid_3031759","3031759","Bonnefont","Bonnefont","France","Languedoc-Roussillon-Midi-Pyrénées","43.24983","0.34476","43.24983, 0.34476",""
"brugge_BE_gid_2800931","2800931","Brugge","Bruges","Belgium","Flemish","51.20892","3.22424","51.20892, 3.22424",""
"brussels_BE_gid_2800866","2800866","Brussels","Brussels","Belgium","Brussels Capital","50.85045","4.34878","50.85045, 4.34878",""
"calais_FR_gid_3029162","3029162","Calais","Calais","France","Hauts-de-France","50.95194","1.85635","50.95194, 1.85635",""
"chíos_GR_gid_259973","259973","Chíos","Chios","Greece","North Aegean","38.36778","26.13583","38.36778, 26.13583",""
"fontenay_le_comte_FR_gid_3017921","3017921","Fontenay","Fontenay-le-Comte","France","Pays de la Loire","46.46667","-0.81667","46.46667, -0.81667",""
"leuven_BE_gid_2792482","2792482","Leuven","Louvain","Belgium","Flemish","50.87959","4.70093","50.87959, 4.70093",""
"marly_la_ville_FR_gid_2995653","2995653","Marly-la-Ville","Marly","France","Île-de-France","49.08201","2.50347","49.08201, 2.50347",""
"mechelen_BE_gid_2791537","2791537","Mechelen","Mechelen","Belgium","Flemish","51.02574","4.47762","51.02574, 4.47762",""
"milano_IT_gid_3173435","3173435","Milano","Milan","Italy","Lombardy","45.46427","9.18951","45.46427, 9.18951",""
"padova_IT_gid_3171728","3171728","Padova","Padua","Italy","Veneto","45.40797","11.88586","45.40797, 11.88586",""
"paris_FR_gid_2988507","2988507","Paris","Paris","France","Île-de-France","48.85341","2.3488","48.85341, 2.3488",""
"romorantin_lanthenay_FR_gid_2982967","2982967","Romorantin-Lanthenay","Romorantin","France","Centre","47.36667","1.75","47.36667, 1.75",""
"toulouse_FR_gid_2972315","2972315","Toulouse","Toulouse","France","Languedoc-Roussillon-Midi-Pyrénées","43.60426","1.44367","43.60426, 1.44367",""
"venice_IT_gid_3164603","3164603","Venice","Venice","Italy","Veneto","45.43713","12.33265","45.43713, 12.33265",""
